human,humanLabel,parliamentary_term,parliamentary_termLabel,sex_or_gender,sex_or_genderLabel,date_of_birth,funkcja,funkcjaLabel,partia_polityczna,partia_politycznaLabel
http://www.wikidata.org/entity/Q2544393,Walter Gaßmann,,,http://www.wikidata.org/entity/Q6581097,male,1903-03-03T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
http://www.wikidata.org/entity/Q2544648,Walter Harm,,,http://www.wikidata.org/entity/Q6581097,male,1897-05-09T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2544648,Walter Harm,,,http://www.wikidata.org/entity/Q6581097,male,1897-05-09T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2544792,Walter Hoffmann,,,http://www.wikidata.org/entity/Q6581097,male,1952-10-28T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2544792,Walter Hoffmann,,,http://www.wikidata.org/entity/Q6581097,male,1952-10-28T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545122,Walter Kolbow,,,http://www.wikidata.org/entity/Q6581097,male,1944-04-27T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545122,Walter Kolbow,,,http://www.wikidata.org/entity/Q6581097,male,1944-04-27T00:00:00Z,http://www.wikidata.org/entity/Q19731005,Parliamentary Secretary in Germany,http://www.wikidata.org/entity/Q49768,Social Democratic Party of Germany
http://www.wikidata.org/entity/Q2545219,Walter Kutschera,,,http://www.wikidata.org/entity/Q6581097,male,1914-04-29T00:00:00Z,http://www.wikidata.org/entity/Q1939555,member of the German Bundestag,http://www.wikidata.org/entity/Q707844,All-German Bloc/League of Expellees and Deprived of Rights
http://www.wikidata.org/entity/Q2545219,Walter Kutschera,,,http://www.wikidata.org/entity/Q6581097,male,1914-04-29T00:00:00Z,http://www.wikidata.org/entity/Q17521638,Member of the Landtag of Lower Saxony,http://www.wikidata.org/entity/Q707844,All-German Bloc/League of Expellees and Deprived of Rights
http://www.wikidata.org/entity/Q2545255,Walter Kühlthau,,,http://www.wikidata.org/entity/Q6581097,male,1906-08-16T00:00:00Z,http://www.wikidata.org/entity/Q30185,mayor,http://www.wikidata.org/entity/Q49762,Christian Democratic Union
